Gene symbol	Shprmt1 /Scrmbl	Siprmt1 /Scrmbl	ShprmtOE /Scrmbl	ShprmtOE /Shprmt1	Scrmbl	Shprmt1	Siprmt1	ShprmtOE
BST2	3.283	45.181	28.546	8.695	2.856	4.571	8.353	7.691
FASTKD1	3.282	1.896	3.131	0.954	3.003	4.718	3.926	4.650
VPS13A	3.275	4.588	3.400	1.038	1.899	3.610	4.097	3.665
ECM1	3.238	1.527	4.797	1.482	2.254	3.949	2.864	4.516
PARP14	3.234	12.082	17.125	5.295	5.298	6.991	8.893	9.396
WDR63	3.221	3.394	3.884	1.206	0.333	2.021	2.096	2.291
ZNF467	3.221	6.212	2.118	0.658	0.333	2.021	2.968	1.416
CXCR4	3.221	3.611	1.530	0.475	0.333	2.021	2.186	0.946
DENND4C	3.211	5.003	3.923	1.222	2.472	4.155	4.795	4.444
RTN4RL1	3.192	2.668	3.339	1.046	0.933	2.608	2.349	2.673
ATM	3.192	6.100	3.048	0.955	0.933	2.608	3.542	2.541
ZNF286B	3.180	4.744	4.315	1.357	0.722	2.392	2.968	2.832
HHLA2	3.161	1.796	2.442	0.773	2.173	3.833	3.018	3.461
USP47	3.157	6.787	4.162	1.318	3.391	5.049	6.153	5.448
JRKL	3.145	4.328	3.071	0.977	3.766	5.419	5.880	5.385
LOC286437	3.140	4.510	7.120	2.267	0.176	1.827	2.349	3.008
GRIN2A	3.139	0.524	1.633	0.520	1.281	2.931	0.348	1.988
SNORA23	3.138	1.389	0.927	0.295	1.623	3.273	2.096	1.513
MIB1	3.134	5.771	4.676	1.492	3.317	4.965	5.846	5.543
TSL	3.126	4.616	3.511	1.123	1.495	3.140	3.702	3.307
WNT16	3.123	2.223	1.828	0.585	1.117	2.760	2.270	1.988
TCN2	3.117	2.489	2.929	0.940	2.292	3.933	3.608	3.843
SP3	3.117	3.289	2.911	0.934	1.682	3.322	3.400	3.224
DDX58	3.104	22.839	37.759	12.165	1.996	3.630	6.510	7.235
TSACC	3.094	2.928	3.660	1.183	1.201	2.831	2.752	3.073
TAOK1	3.093	4.640	4.335	1.402	5.254	6.883	7.469	7.370
BBOX1-AS1	3.069	5.806	3.922	1.278	1.281	2.898	3.818	3.252
UBLCP1	3.067	2.385	3.937	1.284	3.260	4.876	4.514	5.237
CEP152	3.065	3.117	2.481	0.810	2.803	4.419	4.443	4.114
ZNF350	3.064	3.545	2.160	0.705	1.682	3.298	3.508	2.794
DICER1	3.059	2.625	3.350	1.095	5.249	6.862	6.642	6.994
RGPD8	3.048	4.830	5.011	1.644	2.292	3.900	4.565	4.618
GRAMD1B	3.044	3.630	3.896	1.280	0.832	2.437	2.692	2.794
CFAP46	3.044	1.789	2.645	0.869	0.832	2.437	1.671	2.235
CEACAM3	3.039	1.546	1.371	0.451	0.000	1.603	0.629	0.455
ZNF407	3.038	1.582	3.173	1.044	2.538	4.141	3.200	4.204
FAM83B	3.035	5.629	4.936	1.627	3.049	4.651	5.542	5.353
ZNF33A	3.021	2.604	3.165	1.048	3.575	5.170	4.956	5.237
TET1	3.020	2.909	2.395	0.793	2.601	4.196	4.142	3.861
AK9	3.006	2.195	1.670	0.556	1.495	3.083	2.629	2.235
MMAA	3.005	2.634	3.098	1.031	0.604	2.191	2.001	2.235
TNFAIP3	2.999	7.604	4.914	1.639	1.281	2.865	4.208	3.578
ALMS1	2.992	2.295	2.588	0.865	2.803	4.384	4.002	4.175
C2orf88	2.991	1.706	2.433	0.814	3.279	4.860	4.050	4.562
ZNF431	2.990	4.268	1.870	0.625	0.176	1.756	2.270	1.079
SYNE2	2.989	6.131	3.109	1.040	4.705	6.285	7.321	6.342
IFT88	2.988	3.089	3.094	1.035	1.948	3.528	3.576	3.578
POF1B	2.981	3.416	2.929	0.983	4.301	5.877	6.074	5.851
TRPM7	2.980	4.060	4.368	1.466	3.179	4.754	5.200	5.306
TRIM2	2.980	3.354	4.351	1.460	4.608	6.184	6.354	6.730
EPS8L2	2.980	1.909	1.959	0.657	3.511	5.086	4.443	4.480
PRRG1	2.962	2.199	3.612	1.220	1.427	2.994	2.564	3.280
GOLGB1	2.956	3.104	2.141	0.724	5.904	7.468	7.538	7.002
USPL1	2.951	2.094	2.560	0.867	0.333	1.895	1.400	1.689
NRON	2.951	1.877	2.118	0.718	0.333	1.895	1.242	1.416
GPR18	2.948	5.011	5.667	1.922	0.832	2.392	3.157	3.334
AKR7L	2.947	1.147	2.289	0.777	1.201	2.760	1.400	2.396
ADH6	2.944	1.603	2.277	0.773	1.948	3.506	2.629	3.135
GABBR1	2.929	2.547	3.617	1.235	1.281	2.831	2.629	3.135
CEP120	2.926	3.730	2.476	0.846	2.881	4.430	4.781	4.189
CXADRP2	2.925	2.382	3.436	1.175	0.933	2.482	2.186	2.714
RIC1	2.925	3.526	2.465	0.843	0.933	2.482	2.752	2.235
ZNF860	2.925	1.382	1.980	0.677	0.933	2.482	1.400	1.919
ZZZ3	2.922	1.849	2.715	0.929	4.119	5.666	5.006	5.560
FKBP1A-SDCBP2	2.919	1.598	2.596	0.890	5.594	7.139	6.270	6.971
POLK	2.917	4.504	4.564	1.565	2.254	3.798	4.425	4.444
KLHL3	2.917	4.332	2.892	0.992	2.254	3.798	4.369	3.786
ZNF280C	2.913	2.844	2.419	0.830	1.356	2.898	2.864	2.630
SDCBP2	2.910	1.595	2.601	0.894	5.602	7.143	6.275	6.981
REST	2.899	4.297	3.405	1.175	4.887	6.422	6.990	6.655
HYAL1	2.897	2.947	2.278	0.786	2.173	3.707	3.732	3.360
TUBG2	2.891	2.099	1.645	0.569	1.996	3.528	3.066	2.714
ESPN	2.884	4.381	2.373	0.823	1.795	3.322	3.926	3.041
SMPD3	2.881	7.367	2.892	1.004	2.254	3.780	5.135	3.786
CETN3	2.877	1.866	2.222	0.773	6.625	8.150	7.525	7.778
RARRES3	2.873	44.843	14.061	4.895	1.201	2.724	6.688	5.015
HTR7P1	2.872	1.103	1.955	0.681	0.722	2.244	0.863	1.689
PLEKHH2	2.869	1.000	3.410	1.189	0.000	1.520	0.000	1.770
NMRK1	2.869	3.184	2.483	0.866	0.000	1.520	1.671	1.312
FBXW10	2.869	3.458	2.112	0.736	0.000	1.520	1.790	1.079
BIRC6	2.861	3.666	3.392	1.185	3.820	5.337	5.695	5.582
CHKB	2.859	1.648	2.472	0.865	1.281	2.796	2.001	2.586
AXDND1	2.857	1.870	3.603	1.261	2.570	4.085	3.473	4.419
TCN1	2.852	1.503	2.565	0.899	1.682	3.194	2.270	3.041
CCP110	2.851	5.054	3.885	1.363	3.279	4.790	5.616	5.237
ITGB6	2.847	2.988	3.155	1.108	3.298	4.808	4.878	4.956
FAM63B	2.840	6.038	3.345	1.178	3.116	4.621	5.710	4.858
IL18R1	2.839	3.301	1.377	0.485	0.176	1.682	1.899	0.638
LOC101928381	2.837	2.811	1.883	0.664	0.933	2.437	2.425	1.846
RBL1	2.833	2.345	2.770	0.978	3.158	4.661	4.388	4.628
LINC01559	2.829	6.560	4.415	1.561	2.570	4.070	5.284	4.712
CYBB	2.825	1.904	0.683	0.242	1.495	2.994	2.425	0.946
RDM1	2.822	4.640	2.672	0.947	1.028	2.525	3.243	2.446
CEP162	2.819	2.758	2.307	0.818	1.899	3.394	3.362	3.105
DNAJC10	2.819	2.687	3.284	1.165	4.513	6.008	5.939	6.228
ZNF354B	2.816	0.794	1.088	0.386	0.333	1.827	0.000	0.455
GPD1	2.816	1.450	1.911	0.679	1.560	3.054	2.096	2.495
FAM208B	2.811	2.643	2.628	0.935	3.179	4.670	4.581	4.573
FRYL	2.809	5.794	5.048	1.797	3.049	4.539	5.584	5.385
ZNF252P	2.807	2.125	2.904	1.034	3.460	4.950	4.548	4.998
AOC1	2.805	2.545	2.589	0.923	2.292	3.780	3.640	3.665
GAN	2.799	2.268	2.218	0.792	1.682	3.167	2.864	2.832
TERT	2.799	2.335	2.692	0.962	1.201	2.686	2.425	2.630
TSIX	2.785	4.621	3.846	1.381	4.348	5.826	6.556	6.291
MATR3	2.783	2.461	2.797	1.005	6.301	7.778	7.600	7.785
LPAR6	2.782	4.251	4.074	1.464	0.604	2.080	2.692	2.630
TMEM229B	2.779	3.540	3.060	1.101	1.848	3.322	3.671	3.461
QSER1	2.776	2.552	2.351	0.847	4.562	6.035	5.913	5.795
SCAPER	2.771	4.503	2.924	1.055	3.971	5.442	6.142	5.519
USP34	2.765	3.501	3.546	1.282	5.279	6.746	7.086	7.105
IREB2	2.750	3.209	3.068	1.116	5.898	7.357	7.580	7.515
TOP2A	2.747	2.501	2.705	0.985	7.748	9.205	9.070	9.183
LOC647859	2.743	3.986	2.777	1.012	2.856	4.312	4.851	4.329
EVI5L	2.741	2.262	1.243	0.454	1.740	3.194	2.917	2.054
KIAA1328	2.739	1.427	1.217	0.444	1.028	2.482	1.542	1.312
SLC2A2	2.732	2.978	4.136	1.514	1.117	2.567	2.692	3.166
PLA2G4A	2.725	3.878	3.499	1.284	1.201	2.648	3.157	3.008
ZNF700	2.714	5.085	4.230	1.559	1.356	2.796	3.702	3.437
RASA1	2.709	2.516	2.872	1.060	3.298	4.736	4.630	4.820
PHLDB2	2.708	5.065	3.624	1.338	3.559	4.996	5.900	5.417
CLRN3	2.708	2.170	2.240	0.827	3.559	4.996	4.677	4.723
MYCBP2	2.706	3.953	4.290	1.585	4.639	6.075	6.622	6.740
MAST3	2.706	1.216	1.455	0.538	2.214	3.650	2.496	2.754
DSG2-AS1	2.700	3.140	2.542	0.941	3.158	4.591	4.809	4.504
COLQ	2.699	1.000	2.112	0.783	0.000	1.432	0.000	1.079
LOC389332	2.699	1.000	1.927	0.714	0.000	1.432	0.000	0.946
LOC102723709	2.699	2.365	1.927	0.714	0.000	1.432	1.242	0.946
TGM1	2.699	1.819	1.371	0.508	0.000	1.432	0.863	0.455
CDC14A	2.699	2.092	1.185	0.439	0.000	1.432	1.065	0.245
C3orf22	2.699	1.000	1.000	0.371	0.000	1.432	0.000	0.000
PRR14L	2.697	3.146	2.366	0.877	4.130	5.561	5.783	5.372
ATP2B1	2.695	3.054	3.038	1.127	4.463	5.893	6.074	6.066
RPGR	2.693	2.099	2.238	0.831	2.438	3.867	3.508	3.600
MIA3	2.689	3.879	2.481	0.922	3.637	5.064	5.592	4.947
ABCA12	2.689	2.818	2.198	0.817	0.176	1.603	1.671	1.312
LOC374443	2.689	2.093	2.034	0.756	0.176	1.603	1.242	1.200
SMIM8	2.688	2.177	1.571	0.584	1.795	3.221	2.917	2.446
IFIT3	2.685	135.619	119.739	44.595	1.848	3.273	8.931	8.751
MAML2	2.685	4.830	2.338	0.871	1.848	3.273	4.120	3.073
FAM111A	2.683	3.405	3.603	1.343	3.766	5.190	5.534	5.615
LOC100132215	2.681	6.429	3.443	1.284	0.333	1.756	3.018	2.117
LOC283177	2.681	1.444	2.118	0.790	0.333	1.756	0.863	1.416
SCML4	2.678	1.277	1.877	0.701	1.996	3.417	2.349	2.905
DGKQ	2.676	1.436	1.818	0.679	2.042	3.462	2.564	2.905
CLIP1	2.671	2.808	2.249	0.842	4.836	6.253	6.325	6.005
RNASE1	2.670	0.838	3.342	1.252	0.604	2.021	0.348	2.345
STAG2	2.667	5.609	5.280	1.980	4.393	5.808	6.881	6.794
ERBB2IP	2.667	6.246	3.739	1.402	4.402	5.817	7.045	6.305
AGAP4	2.666	2.758	3.753	1.408	0.722	2.137	2.186	2.630
TMC7	2.665	1.122	2.116	0.794	2.330	3.744	2.496	3.412
LRP5L	2.662	3.323	2.645	0.994	0.832	2.244	2.564	2.235
KLF6	2.662	3.839	2.780	1.044	3.652	5.064	5.592	5.126
USP53	2.661	2.974	2.751	1.034	3.179	4.591	4.752	4.639
TGFBR3	2.652	1.813	1.828	0.690	3.511	4.917	4.369	4.381
FAM196A	2.651	2.335	3.015	1.137	1.201	2.608	2.425	2.794
A1CF	2.649	3.221	2.014	0.760	1.281	2.686	2.968	2.291
ZNF800	2.646	3.925	3.336	1.261	1.427	2.831	3.400	3.166
ID2	2.642	0.412	0.979	0.371	4.437	5.839	3.157	4.407
SCGN	2.641	0.312	3.374	1.278	1.682	3.083	0.000	3.437
ACOT11	2.638	1.160	1.089	0.413	4.193	5.592	4.406	4.316
OAS2	2.637	36.805	48.993	18.579	1.899	3.298	7.101	7.513
MSH2	2.635	2.752	2.883	1.094	3.652	5.049	5.112	5.179
DMXL2	2.632	5.134	5.108	1.941	2.254	3.650	4.614	4.607
ACVR2B	2.631	2.208	2.300	0.874	2.330	3.726	3.473	3.532
MSANTD4	2.629	2.580	2.821	1.073	2.506	3.900	3.873	4.002
VPS13B	2.626	3.249	2.400	0.914	2.881	4.274	4.581	4.145
CLMP	2.624	1.596	2.212	0.843	3.116	4.507	3.790	4.261
RGPD6	2.622	4.285	3.543	1.351	3.426	4.817	5.525	5.251
ARID5B	2.622	3.987	1.857	0.708	5.082	6.473	7.078	5.976
GK5	2.619	2.043	2.104	0.804	4.253	5.642	5.284	5.326
PPAT	2.605	2.011	2.066	0.793	3.200	4.581	4.208	4.247
SETX	2.603	2.902	3.633	1.396	4.513	5.893	6.050	6.374
FAM135A	2.601	4.848	3.686	1.417	2.691	4.070	4.969	4.573
RBM34	2.601	2.646	2.680	1.030	5.003	6.382	6.406	6.425
PRKACB	2.600	3.893	4.945	1.902	2.570	3.949	4.531	4.876
FRMD4A	2.600	1.318	1.292	0.497	2.570	3.949	2.968	2.940
MDM2	2.599	2.384	3.899	1.500	6.958	8.336	8.212	8.921
ZNF587	2.598	1.510	1.738	0.669	4.669	6.046	5.263	5.466
PIK3R1	2.597	4.470	3.440	1.324	5.498	6.875	7.658	7.280
ERCC6	2.597	3.883	2.361	0.909	2.292	3.669	4.250	3.532
PDZD3	2.587	4.581	3.697	1.429	1.623	2.994	3.818	3.509
TPPP	2.584	4.810	2.328	0.901	1.495	2.865	3.761	2.714
NTN4	2.583	6.260	6.783	2.626	1.427	2.796	4.074	4.189
ARID2	2.576	3.217	2.618	1.016	3.460	4.825	5.146	4.849
STON2	2.572	7.585	6.672	2.593	1.028	2.392	3.952	3.766
RHOU	2.571	3.006	1.998	0.777	3.794	5.156	5.381	4.792
PLEKHA5	2.571	3.917	2.513	0.978	4.881	6.243	6.851	6.210
TEAD2	2.570	0.804	0.683	0.266	5.706	7.068	5.391	5.157
NEK7	2.569	4.023	5.466	2.127	2.506	3.867	4.514	4.956
SLC5A3	2.569	2.360	3.266	1.271	3.240	4.601	4.479	4.947
LMLN	2.568	3.773	2.753	1.072	2.472	3.833	4.388	3.933
FRMD3	2.563	1.930	1.056	0.412	0.722	2.080	1.671	0.800
TTC39B	2.561	2.500	1.493	0.583	2.254	3.610	3.576	2.832
TRABD2A	2.558	1.428	2.184	0.854	5.126	6.481	5.640	6.253
TPTE2P5	2.558	1.736	2.122	0.829	0.604	1.959	1.400	1.689
ACE	2.558	2.994	2.000	0.782	0.604	1.959	2.186	1.604
GCNT7	2.558	3.353	1.268	0.496	0.604	1.959	2.349	0.946
XIST	2.558	4.570	3.519	1.376	4.829	6.184	7.021	6.644
DCLRE1C	2.555	3.497	6.034	2.362	3.317	4.670	5.123	5.910
DUXAP10	2.554	1.802	2.245	0.879	3.959	5.312	4.809	5.126
CCR6	2.554	0.802	1.948	0.762	3.959	5.312	3.640	4.921
MOG	2.553	1.898	1.653	0.648	0.475	1.827	1.400	1.200
RAB3GAP2	2.552	5.208	3.241	1.270	3.260	4.611	5.640	4.956
THOC2	2.552	3.673	2.834	1.111	5.863	7.214	7.740	7.365
PRPF39	2.550	3.810	4.387	1.720	1.996	3.347	3.926	4.129
RPS6KB1	2.550	4.245	4.348	1.705	3.860	5.210	5.945	5.980
C5	2.547	5.128	2.560	1.005	0.333	1.682	2.692	1.689
BRCC3	2.543	2.256	2.602	1.023	5.204	6.551	6.378	6.584
CTSS	2.540	8.007	5.405	2.128	4.272	5.617	7.274	6.707
SPDL1	2.540	2.524	2.777	1.093	4.272	5.617	5.608	5.746
TMEM67	2.539	1.127	1.541	0.607	0.176	1.520	0.348	0.800
ZNF248	2.535	2.013	1.351	0.533	1.682	3.024	2.692	2.117
MAN2A1	2.530	1.759	3.133	1.238	4.263	5.602	5.078	5.910
EPHB1	2.529	1.000	1.927	0.762	0.000	1.339	0.000	0.946
JMJD1C	2.524	3.473	2.617	1.037	3.820	5.156	5.616	5.208
PCMTD1	2.524	5.681	3.774	1.495	1.495	2.831	4.002	3.412
LMAN1	2.523	2.536	2.579	1.022	6.747	8.083	8.090	8.114
CEP350	2.523	3.083	2.160	0.856	4.420	5.755	6.044	5.531
HERC6	2.523	5.866	12.926	5.124	2.214	3.549	4.766	5.906
ZDHHC8P1	2.519	0.879	1.130	0.449	1.427	2.760	1.242	1.604
SNX10	2.516	4.354	2.936	1.167	3.494	4.825	5.616	5.048
ATF7IP	2.515	3.381	2.392	0.951	4.816	6.146	6.573	6.074
CDK8	2.515	1.351	2.129	0.847	1.356	2.686	1.790	2.446
SLC26A9	2.515	3.164	1.550	0.616	1.356	2.686	3.018	1.988
HAUS6	2.512	3.792	3.396	1.352	2.538	3.867	4.461	4.302
MTRF1	2.511	2.298	3.169	1.262	2.042	3.371	3.243	3.706
PTPN11	2.508	1.722	1.780	0.709	5.174	6.500	5.958	6.005
SCN2A	2.506	5.731	3.832	1.529	3.354	4.680	5.873	5.293
EIF3A	2.504	1.806	1.901	0.759	8.714	10.039	9.567	9.641
PPM1F	2.499	1.200	1.020	0.408	2.367	3.688	2.629	2.396
ARHGAP29	2.493	4.719	3.610	1.448	2.292	3.610	4.531	4.145
DSCC1	2.493	1.371	2.270	0.911	3.391	4.708	3.846	4.573
EXOC1	2.492	3.281	2.975	1.194	2.931	4.249	4.646	4.504
DLX6-AS1	2.489	5.176	2.581	1.037	1.028	2.344	3.400	2.396
SH3TC2	2.489	0.758	1.217	0.489	1.028	2.344	0.629	1.312
LRBA	2.486	1.991	3.002	1.207	3.317	4.631	4.310	4.903
CXXC5	2.484	6.175	3.704	1.491	3.780	5.093	6.406	5.669
NHS	2.484	1.365	1.914	0.771	8.135	9.448	8.584	9.072
ATR	2.483	2.633	3.260	1.313	3.621	4.934	5.018	5.326
TCIRG1	2.483	1.332	1.575	0.634	2.830	4.141	3.243	3.485
FKTN	2.482	1.758	2.738	1.103	1.682	2.994	2.496	3.135
APC	2.481	3.041	1.982	0.799	3.260	4.571	4.864	4.247
MESTIT1	2.481	1.382	2.077	0.837	0.933	2.244	1.400	1.988
ZNF197	2.478	1.600	2.134	0.861	2.131	3.440	2.809	3.224
MT1E	2.474	2.035	2.155	0.871	2.087	3.394	3.112	3.195
IFIT1	2.471	122.685	274.236	110.986	0.832	2.137	7.771	8.931
OPA1	2.471	2.183	3.014	1.220	4.529	5.834	5.656	6.121
PLEKHF2	2.470	3.857	3.482	1.410	1.560	2.865	3.508	3.360
C6orf141	2.470	1.543	1.973	0.799	1.560	2.865	2.186	2.541
RNF125	2.470	1.105	1.278	0.517	2.042	3.347	2.186	2.396
EXOC6	2.467	3.629	3.002	1.217	2.907	4.209	4.766	4.492
DCAF13P3	2.465	1.688	2.063	0.837	1.996	3.298	2.752	3.041
PAPLN	2.464	2.970	2.064	0.838	1.495	2.796	3.066	2.541
SLCO1B3	2.460	2.877	1.460	0.594	1.948	3.247	3.473	2.495
ZNF37BP	2.460	4.247	4.090	1.663	0.722	2.021	2.809	2.754
ZMAT3	2.454	0.756	1.121	0.457	6.200	7.495	5.797	6.365
ZCCHC10	2.454	1.935	2.576	1.050	4.809	6.104	5.761	6.174
AIM1L	2.453	1.650	1.208	0.493	2.980	4.274	3.702	3.252
ZC3H15	2.453	2.306	2.831	1.154	6.539	7.834	7.745	8.041
SMC3	2.453	2.669	2.343	0.955	5.093	6.388	6.510	6.322
HCG18	2.448	3.484	2.491	1.018	1.356	2.648	3.157	2.673
MAB21L3	2.446	5.688	2.122	0.867	0.604	1.895	3.112	1.689
CEP55	2.443	2.478	2.619	1.072	4.661	5.950	5.971	6.050
LINC00106	2.443	2.256	3.174	1.299	1.795	3.083	2.968	3.461
KIAA0232	2.440	3.168	2.473	1.013	3.354	4.641	5.018	4.660
RBKS	2.439	6.368	1.404	0.575	1.281	2.567	3.952	1.770
TTC3	2.439	2.241	2.424	0.994	5.610	6.896	6.774	6.887
RGPD5	2.438	4.784	3.905	1.602	2.403	3.688	4.661	4.368
EPC2	2.438	2.616	2.117	0.869	2.403	3.688	3.790	3.485
ANO9	2.436	2.998	2.687	1.103	1.740	3.024	3.323	3.166
DSC2	2.432	1.343	2.384	0.980	5.199	6.481	5.624	6.453
NEK5	2.431	1.702	3.388	1.394	0.475	1.756	1.242	2.235
B3GNT7	2.431	4.256	3.388	1.394	0.475	1.756	2.564	2.235
SLC44A4	2.429	5.778	3.337	1.374	1.201	2.482	3.732	2.940
LOC100129550	2.429	2.097	1.564	0.644	1.201	2.482	2.270	1.846
C7orf60	2.429	2.961	3.214	1.323	2.042	3.322	3.608	3.727
GPR180	2.428	3.106	4.464	1.839	3.511	4.790	5.146	5.669
WDR66	2.423	2.920	1.227	0.506	1.996	3.273	3.542	2.291
KIAA1715	2.422	2.375	2.075	0.857	3.575	4.851	4.823	4.628
LCOR	2.419	3.481	4.285	1.771	3.443	4.718	5.243	5.543
NRIP1	2.418	5.634	3.616	1.495	3.317	4.591	5.811	5.172
GSDMB	2.416	12.924	9.436	3.905	1.948	3.221	5.640	5.186
ATP11B	2.414	4.878	5.455	2.260	3.408	4.680	5.695	5.856
RSAD2	2.412	96.585	127.500	52.866	0.333	1.603	6.927	7.328
CREG2	2.412	2.961	2.265	0.939	0.333	1.603	1.899	1.513
PTOV1-AS1	2.412	1.227	0.794	0.329	0.333	1.603	0.629	0.000
HOMER1	2.411	2.501	2.410	0.999	3.696	4.965	5.018	4.965
DST	2.411	2.695	1.903	0.789	4.761	6.031	6.192	5.690
KIAA1804	2.410	3.208	2.054	0.852	2.980	4.249	4.661	4.018
ANKRD23	2.409	2.611	1.909	0.792	1.899	3.167	3.284	2.832
CEP97	2.407	3.274	2.269	0.942	2.803	4.070	4.514	3.985
ZNF440	2.406	3.569	1.399	0.582	1.028	2.295	2.864	1.513
SMARCA1	2.405	5.079	3.306	1.374	5.469	6.735	7.813	7.193
B4GAT1	2.405	0.766	0.777	0.323	6.336	7.602	5.952	5.971
HEPH	2.402	1.010	1.328	0.553	5.249	6.514	5.263	5.658
MYO5C	2.402	2.802	2.980	1.241	4.868	6.132	6.354	6.443
SBNO1	2.402	2.256	2.287	0.952	6.061	7.325	7.235	7.254
STRN3	2.401	3.998	3.006	1.252	4.862	6.125	6.861	6.450
BAZ2B	2.399	3.939	3.079	1.283	3.179	4.441	5.157	4.801
USP9X	2.397	3.875	3.250	1.355	5.590	6.852	7.544	7.291
IQGAP1	2.397	1.598	1.892	0.789	7.650	8.911	8.327	8.570
RND3	2.396	2.775	4.821	2.012	3.279	4.539	4.752	5.548
CHKB-CPT1B	2.395	2.005	3.620	1.511	2.538	3.798	3.542	4.394
CIDEC	2.395	2.534	2.890	1.207	2.330	3.590	3.671	3.861
LMBRD2	2.394	3.705	3.072	1.283	2.087	3.347	3.977	3.706
FNDC3B	2.394	2.798	2.225	0.929	4.505	5.764	5.989	5.658
CEP135	2.393	1.082	1.751	0.732	1.427	2.686	1.542	2.235
CALML4	2.390	1.865	2.647	1.108	5.168	6.425	6.068	6.573
IFI16	2.388	30.850	11.879	4.973	0.176	1.432	5.123	3.747
